Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Joe menggeliat saat dia berguling di tempat tidur.,Jamnya menunjukkan itu jam 10 pagi.,"Dia melompat dari tempat tidur, panik.",Alarmnya belum berbunyi.,Joe terlambat bekerja.,Joe kembali tidur.
Kelly sudah bertahun-tahun tidak meninggalkan apartemennya.,Saya pergi ke rumahnya hari ini untuk menyapa.,Aku tahu dia enggan mengizinkanku masuk.,Kami berbicara sebentar tentang kabarnya.,Kelly menderita agorafobia.,Kelly senang dikunjungi.
Amy menelepon Kim.,Dia ingin mencari tahu mengapa Kim bersikap kasar padanya.,Kim cemburu pada pacar Amy.,Amy menerima permintaan maafnya.,Mereka memutuskan untuk tidak pernah membiarkan seorang pria menghalangi mereka.,Amy memberi tahu Kim bahwa dia adalah pecundang besar.
Carl melihat ke teleskop untuk pertama kalinya pada usia 9 tahun.,Dia segera terengah-engah dan penuh keajaiban.,Dia memutuskan dia harus belajar lebih banyak tentang kosmos.,Ia belajar sains dan astronomi melalui sekolah menengah dan perguruan tinggi.,Dia akhirnya menjadi seorang ilmuwan.,Carl kemudian menjadi tukang sampah.
Anak anjing kami pergi keluar untuk bermain.,"Dia berguling-guling di lumpur, yang tersangkut di bulunya.","Begitu berada di dalam rumah, kami mengirimnya ke kamar mandi.",Dia melompat ke bak mandi untuk mandi.,Kami memandikannya.,"Ketika kami selesai, anak anjing kami penuh dengan lumpur."
Eric selalu kelebihan berat badan.,Resolusi tahun barunya adalah berpegang pada diet.,Dia pergi ke gym pada bulan Januari dan makan lebih sehat.,Itu berlangsung sekitar satu bulan.,Eric kemudian berhenti berolahraga.,Eric berhenti menjadi anoreksia.
Brandon bangun pagi ini dengan giginya yang hilang.,Dengan penuh semangat dia berlari ke kamar orang tuanya.,Brandon melompat-lompat di atas tempat tidur mereka.,Dia berlari kembali ke kamarnya untuk meletakkan giginya di bawah bantal.,Brandon memeriksa keesokan harinya dan menemukan 50 sen di bawah bantalnya.,Brandon membeli sebatang cokelat.
Amy ingin sehat.,Dia membeli blender smoothie.,Dia membuat smoothie buah dan sayuran yang lezat.,Butuh waktu 20 menit untuk membersihkan blender.,Amy bertekad untuk menurunkan berat badan.,Amy bertekad untuk menambah berat badan.
"Harry diam-diam membenci rumah berhantu, tetapi tidak bisa mengecewakan temannya.","Memalsukan wajah pemberani, mereka pergi ke rumah yang gelap.",Dia berhasil melewati semuanya tanpa berteriak keras-keras.,"Pada akhirnya, mereka jatuh melalui lantai trik menjadi sekelompok goo.",Harry berharap dia tidak pergi.,Harry sangat senang berada di goo.
Terkadang anak-anak saya bertanya-tanya apakah Sinterklas itu nyata.,Setiap tahun kami meninggalkan kue dan susu untuknya pada Malam Natal.,Setiap hari Natal kami menemukan cangkir kosong dan remah-remah kue kering.,Suatu tahun kami menemukan potongan kue di luar di salju.,Kami memberi tahu anak-anak bahwa Sinterklas harus berbagi dengan rusa kutub.,Kami memberi tahu anak-anak bahwa itu adalah ucapan syukur.
Timmy ditangkap dengan tiket parkir yang belum dibayar.,Dia tidak punya cukup uang untuk membayar mereka.,Sebaliknya dia harus ditangkap dan dipenjara selama dua hari.,Dia kehilangan pekerjaan karena kehilangan pekerjaan.,"Timmy kemudian harus mencari pekerjaan lain,",Timmy dipromosikan karena bekerja keras sepanjang waktu.
Hari ini adalah ulang tahun kelima Iris!,Ibunya telah merencanakan pesta kejutan untuknya.,Semua temannya ada di sana.,Dia membuka hadiah dan memiliki kue.,Iris bersenang-senang di pestanya.,Iris memutuskan untuk tidak makan kue lagi.
Susie menyukai roti pisang neneknya.,Susie menelepon neneknya dan memintanya untuk mengirimkan beberapa.,Nenek tinggal sangat jauh.,Seminggu berlalu dan nenek mengejutkan Susie dengan datang berkunjung.,Susie sangat senang.,Susie kesal.
Keluarga saya berbagi semangkuk popcorn.,Ibu sedang membaca buku dan makan sepotong demi sepotong.,Ayah dan saya sedang bermain game iPad dan makan segenggam penuh sekaligus.,Kami telah memainkan game ini sebelumnya!,Ayah dan aku suka berondong jagung.,Ayah dan aku benci popcorn.
Dalam perjalanan pulang kerja beberapa hari yang lalu saya mendapat ban kempes.,Saat itu hujan dan dingin.,Saya bisa saja menelepon perusahaan derek tetapi memilih untuk tidak melakukannya.,Sebagai gantinya saya mengganti ban sendiri.,Saya sengsara tapi menabung satu ton.,Saya sedih karena dia bersenang-senang.
Sean dan Sara sedang bepergian untuk melihat konser.,Mereka harus naik kereta ke Portland.,"Begitu sampai di sana, mereka check-in ke sebuah hotel.",Mereka berjalan menuju tempat konser.,"Sayangnya, konser tersebut dibatalkan karena sakit.",Mereka bersenang-senang di museum.
Sal merasa gugup pada hari pertamanya di sekolah menengah.,"Dan saat dia duduk di kelas, dia merasa terintimidasi oleh teman-temannya.","Pada waktu makan siang, siswa lain mendekatinya.",Dan murid itu merasakan hal yang sama seperti Sal.,Sal tahu dia tidak sendiri.,Sal menemukan tidak ada yang merasa seperti dia.
Saya pergi ke las vegas.,Saya belajar bahwa saya sangat menyukai mesin slot.,Saya menghabiskan banyak waktu untuk mereka.,saya menghabiskan banyak uang.,Saya kesal ketika saya kehilangan semua uang saya.,Saya senang saya tidak menghabiskan banyak uang untuk mesin slot.
Gadis-gadis itu memutuskan untuk berkumpul untuk makan malam.,Mereka membawa keluarganya juga.,Sayangnya mereka bertengkar.,Staf harus membuangnya.,Gadis-gadis itu sangat malu.,Gadis-gadis itu bersenang-senang.
Gina sedang mencari ponselnya di mobil ayahnya.,Dia yakin itu akan ada di sana.,Tetapi setelah memeriksa di mana-mana dia tidak bisa melihatnya.,Dia berlari ke dalam rumah dan mengambil senter.,Gina menemukan teleponnya.,Gina pergi tidur.
Aliza memiliki mantan pacar yang sudah lama hilang yang pasti akan dia temukan.,"Masalahnya, dia pindah ke negara bagian baru.",Dia memutuskan untuk menggunakan Facebook untuk menemukannya.,"Dia menemukannya, tetapi dia menikah dengan anak-anak.","Aliza sedih, tapi dia tidak pernah menghubunginya lagi.",Dia jatuh cinta dengan Aliza dan mereka menikah.
Saya membeli casing ponsel dengan tali pengikat.,Saya membutuhkan satu untuk ponsel saya.,Koper itu tiba tanpa tali pengikat.,Situs web mengatakan kasing itu memiliki braket tetapi bukan tali pengikat.,Saya merasa bodoh.,Saya mengembalikan ponsel saya.
Ryan suka sekali menyesuaikan motornya.,Ia memutuskan untuk menambahkan beberapa lampu LED pada rangka dan roda sepeda.,Dia memesan suku cadang dari eBay.,"Ketika mereka tiba, dia mengumpulkan mereka.",Ryan menyukai penampilan sepedanya.,Ryan memutuskan untuk tidak mengendarai sepedanya lagi.
Suatu sore sekelompok anak bermain kelereng.,"Atau setidaknya, mereka mencoba.",Ada banyak perdebatan.,"Akhirnya, mereka menyerah dan memainkan sesuatu yang lain.",Anak-anak memutuskan untuk bermain petak umpet.,Anak-anak memutuskan untuk bermain kelereng.
Dani adalah seorang perawat di ICU.,Suatu malam ayahnya yang terasing adalah salah satu pasiennya.,"Dani tidak mau, tapi dia merawat ayahnya.","Saat dia membaik, mereka berdua bisa berbicara.",Dani lebih mengenal ayahnya.,Dani tidak heran dengan kejadian hari itu.
Bob butuh uang untuk membeli makanan.,Dia sedih tidak bisa makan karena tidak punya uang.,Dia memutuskan untuk menulis buku tentang kehidupannya yang sulit.,Orang-orang segera memuji buku itu dan membeli ribuan eksemplar!,Keuntungan dari penjualan buku memberi Bob cukup uang untuk makan.,Reaksi publik terhadap buku tersebut membuat Bob masih kelaparan.
Orang tua Patrick memelihara bebek.,"Suatu hari, Patrick sedang bermain di dekat bebek.",Salah satu bebek mulai mengejarnya!,Bebek itu mengejar Patrick dan menggigit kakinya.,"Itu tidak merusak kulitnya, tapi Patrick ketakutan dan menangis!",Patrick menjadi takut pada anjing karena insiden itu.
Kim melihat seorang ibu menurunkan kereta belanjanya di tempat parkir.,Balita kecil ibu itu sedang duduk di kursi anak gerobak.,"Tiba-tiba, saat ibunya berbalik, gerobak mulai berguling!","Kim, menyadari bahwa anak itu dalam bahaya besar, menerjang ke arah gerobak.",KIm dengan terengah-engah menyelamatkan anak itu.,Kim menyelamatkan gerobak tapi membiarkan anak itu pergi.
Jack lelah menulis email di komputer tabletnya.,Dia memutuskan dia perlu berinvestasi di laptop.,Dia meneliti berbagai laptop sampai dia menemukan yang sempurna.,Akhirnya dia membelinya.,Sekarang Jack senang membalas email.,"Jack sekarang menggunakan layanan pos, bukan email."
Logan dan Maria memutuskan untuk membuat film bersama.,Mereka menulis naskah dan mempekerjakan para aktor.,"Setelah banyak pengerjaan, akhirnya film pun selesai.",Mereka mengundang semua orang untuk datang melihatnya.,Logan dan Maria bangga dengan film tersebut.,Logan dan Maria malu dengan film itu.
Austin membutuhkan karya seni untuk apartemennya.,Dia pergi ke beberapa galeri seni di pusat kota untuk mendapatkan inspirasi.,Begitu dia punya ide.,Dia online dan membeli beberapa materi.,Austin melukis beberapa gambar yang mirip dengan apa yang dia lihat.,Austin pergi ke taman dan bermain dengan anjingnya.
Saya sedang makan siang dengan teman-teman di tempat baru.,Saya meminta Coke.,Mereka mengatakan kepada saya bahwa mereka hanya memiliki produk Pepsi.,Mereka bertanya apakah saya baik-baik saja dengan itu.,Saya bilang saya baik-baik saja dengan itu.,Saya meminta Coke lagi.
"Pada tahun 2005, saya pergi ke St Anselm College untuk bermain catur.",Teman saya adalah seorang profesor di sana.,Rekannya - juga seorang pemain catur - juga mempermainkan kami.,Saya berada dalam rekor bagus dan tidak pernah kalah dalam pertandingan apapun!,Saya akan terus bermain catur dan berharap untuk lawan yang memenuhi syarat.,Saya pikir saya akan mulai bermain sepak bola.
Barry suka bermain bowling.,"Namun, dia perlu menemukan tempat di mana dia bisa bermain mangkuk secara teratur.",Barry memeriksa halaman kuning untuk mencari tempat bowling di dekatnya.,Barry memutuskan dia akan pergi bowling pada hari Sabtu di lokasi baru.,Barry senang dengan gang baru itu.,Barry melempar bola bowlingnya ke dalam kolam.
Ada pertandingan bola basket besar di gimnasium.,Saya dan teman saya bermain di tim yang sama.,Pertandingan menjadi intens dan kedua tim akhirnya seri.,Ada 4 detik tersisa di jam dan kami perlu mencetak gol.,Saya menembak keranjang kemenangan yang memenangkan pertandingan untuk tim kami.,Saya keluar dari lapangan dan tidak pernah melihat ke belakang.
Saya sedang mencari lukisan yang bagus untuk ruang tamu saya.,Karenanya kemarin saya keluar mencari.,Saya akhirnya menemukan yang indah yang saya cintai.,Lukisan itu adalah air terjun.,Saya membelinya dan membawanya pulang.,Saya memutuskan untuk tidak membeli lukisan itu karena saya tidak menyukainya.
Nina menginginkan kostum Halloween yang bagus.,Tapi dia tidak bisa membeli sesuatu yang mewah.,Dia melihat-lihat rumahnya untuk mencari ide.,Kemudian dia menemukan kostum yang bagus secara gratis.,Nina sangat senang.,Nina membeli mainan.
Lance dan Adam adalah teman baik.,"Ketika Lance bergabung dengan Angkatan Darat, Adam juga mendaftar.",Mereka berada di unit yang sama dan dikerahkan bersama.,Lance menembakkan peluru untuk Adam.,Adam tidak pernah bisa membayar kembali Lance.,Lance tidak pernah berbicara dengan Adam lagi.
Kelly bergegas menuju pesawatnya tepat waktu.,Sayangnya keamanan berlangsung selamanya.,"Pada saat dia pergi dengan aman, dia memeriksa waktu.",Saat itu pukul enam dan penerbangannya berangkat setengah jam yang lalu.,Kelly harus menjadwalkan penerbangan lain.,Kelly naik ke pesawat.
Tony senang bisa melakukan pelayaran pertamanya.,Dia tiba di dermaga dan siap dengan semua barang bawaannya.,"Ketika dia berjalan di tikungan, dia tidak percaya ukurannya.",Dia naik dan kapal meninggalkan dermaga.,Tony menikmati berlayar.,Tony takut laut.
Saya mengendarai sepeda untuk bekerja pada suatu pagi di musim panas.,"Saya agak terlambat, jadi saya terburu-buru.",Saya bersepeda sedikit sembrono.,"Yang membuat saya cemas, bersepeda yang sembrono menyebabkan saya mengalami kecelakaan.","Sejak saat itu, saya memastikan untuk menyisakan banyak waktu perjalanan.",Saya tahu bahwa saya ingin menjadi pengendara sepeda profesional.
Oliva ingin berbelanja.,Dia memutuskan untuk pergi ke mal.,Dia menemukan diskon besar untuk sepatu.,Dia membeli tiga pasang.,Oliva bersenang-senang saat berbelanja.,Olivia memutuskan untuk tidak berbelanja lagi.
Samuel suka membaca cerita fiksi ilmiah kuno.,Dia mengumpulkan buku-buku oleh HG Wells dan Jules Verne.,Favoritnya adalah HG Wells.,Ayahnya memberinya salinan The Island of Dr Moreau.,Dia menyukainya!,Samuel tidak bisa membaca.
Gina mendapat masalah karena sesuatu yang dilakukan kakaknya.,Orang tuanya meminta pertanggungjawabannya sejak dia lebih tua.,Gina menganggap ini sangat tidak adil.,"Dia pergi ke kamarnya dan duduk sendirian, menunggu permintaan maaf.",Kakaknya datang dan meminta maaf.,Gina menganggapnya lucu sekali.
Saya sangat bersemangat kemarin sehingga mengantar merilis lagu baru.,Saya langsung membelinya.,"Ketika saya mendengarkannya, saya terpesona.",Saya segera meletakkannya di ponsel saya.,Saya mendengarkan lagu itu sepanjang hari.,Saya benci lagu baru itu.
Gina perlu memutuskan topik apa yang akan dia tulis untuk pidato.,Dia tidak tahu harus mulai dari mana.,"Dia menyukai ikan, dan berpikir ini mungkin topik yang bagus.",Dia memutuskan dia akan memberikan pidato tentang lumba-lumba.,Dia pergi ke perpustakaan untuk meneliti dan memberikan pidato yang bagus.,Gina segera dipecat sebagai pelatih lumba-lumba.
Marcy adalah wanita tunarungu yang tinggal sendiri.,Dia memberi tahu temannya bahwa hal tersulit adalah berkomunikasi dengan orang asing.,Temannya menyuruhnya mengambil pulpen dan kertas agar dia bisa berkomunikasi.,"Marcy mulai melakukan ini, dan merasa lebih mudah melakukan sesuatu sendirian.",Dia berterima kasih kepada temannya atas sarannya.,Marcy berhenti berbicara dengan temannya.
Mike membeli sepeda baru untuk dikendarai di kotanya.,Dia bersepeda dari rumahnya ke rumah teman.,Dalam perjalanan dia bertemu dengan sekelompok anak yang mengendarai sepeda juga.,Neiter Mike dan anak-anak memakai helm saat itu.,Mike tidak sengaja bertabrakan dengan anak-anak.,Mike tidak suka mengendarai sepeda.
Terry suka berenang tetapi dia tidak pernah belajar cara menyelam.,Dia selalu melompat di kaki air dulu.,Musim panas ini Terry memutuskan dia ingin belajar cara menyelam di air.,Dia berlatih menyelam dengan sangat keras setiap hari.,Terry berharap bisa meningkat.,Terry sudah berhenti berenang.
Hector selalu membeli kopi di toko lokal sebelum bekerja.,Ia menyadari bahwa kebiasaan membeli kopinya sangat mahal.,Suatu hari Hector memutuskan untuk menyeduh kopi di rumah.,Dia bangga karena kopi yang dia buat di rumah sangat enak.,Hector terus menyeduh kopinya sendiri dan menabung.,Hector mulai membeli lebih banyak kopi dari Starbucks.
Sally yakin bosnya mencoba memecatnya.,Dia tetap terlambat untuk memastikan pekerjaannya benar.,Sally masih gelisah.,Dia memutuskan untuk mengatur pertemuan dengan bosnya.,Sally berharap bosnya akan mempertahankannya.,Sally berharap kehilangan pekerjaannya.
Badai salju kecil melanda sebuah kota.,Atap sekolah melengkung karena beban.,Seorang petugas kebersihan naik ke atas untuk memeriksa.,Atapnya berguncang karena beban baru.,Petugas kebersihan ketakutan.,Atapnya baik-baik saja.
Franz memutuskan dia ingin lebih dekat dengan keluarganya.,Dia memesan perjalanan untuk mengunjungi sepupunya di Philadelphia.,Franz dan sepupunya mengunjungi museum dan minum kopi bersama.,Mereka memiliki kunjungan yang luar biasa bersama.,Franz senang dia pergi mengunjungi sepupunya.,Franz berjanji tidak akan pernah mengunjungi sepupunya lagi.
Annabelle suka menyanyi.,Dia bernyanyi di paduan suara sekolahnya.,Mary memperhatikan suara nyanyian Annabelle yang bagus.,Mary meminta Annabelle untuk bergabung dengan bandnya.,Annabelle mengiyakan dan sangat senang dengan kesempatan itu.,Annabelle sangat tersinggung.
Ben ingin memenangkan kontes kostum di tempat kerja tahun ini.,Dia menghabiskan berjam-jam membuat kostumnya dari awal.,Untuk menambah kostumnya ia banyak mengaplikasikan riasan panggung.,"Di tempat kerja, semua orang terkesan dengan penampilannya.",Ben senang.,Ben mundur dari kontes kostum.
Walter kesepian sejak istrinya meninggal.,Dia bertemu dengan seorang wanita yang baik di bingo dan menjadi ramah dengannya.,Dia merasa bersalah tentang apa yang mungkin dipikirkan almarhum istrinya.,Walter mengalami mimpi yang jelas di mana almarhum istrinya meyakinkannya.,Dia meminta wanita dari bingo untuk pergi makan malam dengannya.,Dia memutuskan untuk tidak pernah berkencan lagi.
Gina memutuskan untuk membuat pai apel untuk pertama kalinya.,Dia sangat berhati-hati untuk mengikuti resepnya dengan tepat.,"Setelah memasukkan pai ke dalam oven, dia sangat menunggu untuk mencobanya.",Ternyata enak!,Dia membagikan resep dan pai itu kepada semua temannya.,Jadi dia memutuskan untuk membuangnya ke tempat sampah.
Saya dan saudara laki-laki saya sedang berbagi pizza.,Hanya tersisa satu potong.,Kami semua menginginkannya.,"Sebelum ada yang bisa mengatakan apa pun, aku menjilatnya.",Aku harus makan potongannya.,Saya makan hamburger.
Sam membeli televisi baru.,Itu tidak mau menyala.,Dia menekan tombol on beberapa kali.,Akhirnya Jeb datang untuk memeriksanya.,Jeb mencolokkan televisi dan menyalakannya.,Jeb menyalakan microwave.
