Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Sudah lama Jio ingin memelihara kucing,"Namun, ia masih bingung kucing jenis apa yang akan ia pilih",Jio mencari tahu mengenai jenis-jenis kucing lewat internet,Ia juga rutin menjelajahi media sosial toko hewan,Akhirnya Jio memilih untuk memelihara kucing persia,"Setelah memikirkan matang-matang, Jio ingin memelihara kucing besar seperti harimau"
Kakak adalah orang yang pemalas,Ibu masuk ke kamar kakak,Ibu marah melihat kamar kakak,Kakak segera membereskan kamarnya,Kamar kakak sangat berantakan,Kakak sangat rajin membereskan kamarnya
Maya dan Adiknya pergi berlibur,Maya memilih liburan ke Bali,Adik Maya memilih liburan ke Surabaya,Adik Maya tidak menaiki pesawat yang sama dengan Maya,Maya dan adiknya tidak berlibur bersama,Maya pergi berlibur ke Surabaya
Hasya ingin mulai membuka suatu usaha,Toko Hasya hanya melayani pembeli di e-commerce,Hasya tidak membuka kios untuk usahanya,Hasya melakukan publikasi besar-besaran untuk tokonya,Hasya hanya menjual barang secara online,Hasya merapihkan barang dagangannya yang berantakan di rak
Ussy merasa soal terakhir ulangan matematika harus dianulir.,Soal tersebut tidak jelas angkanya.,Beberapa anak mendapatkan soal dengan angka berbeda.,"Walaupun cara dan jawaban yang ditulis benar, tetapi tetap akan salah jika mengacu kepada kunci jawaban guru.",Ussy berniat untuk berbicara kepada gurunya nanti di jam istirahat.,Ussy berniat untuk pulang ke rumah.
Tiara menyusuri lorong apartemen untuk mencari kucing kesayangannya.,"Sesampainya di ujung lorong, tiara menemukan kucingnya.",Namun kucingnya sedang bersama seseorang.,Tiara langsung menghampiri dan menyapa seseorang yang sedang memberi makanan pada kucingnya itu.,"""hei.. terima kasih sudah memberinya makan. daritadi aku mencarinya"" ucap tiara membuka perkataan.","""Bagaimana jika kita makan malam bersama?"" ucap tiara."
Vallen telah tidak sadarkan diri selama seminggu,Keluarga Vallen khawatir dengan keadaan Vallen,Orang tua Vallen selalu mendoakan yang terbaik untuk anaknya,Jari Vallen bergerak dan matanya terbuka,Vallen telah sadar dari koma,Dokter menyatakan Vallen telah meninggal dunia
Setiap bulan ibu-ibu RT 2 mengadakan arisan,Arisan diadakan di minggu terakhir,"Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah",Bu Mira menyiapkan hidangan untuk arisan nanti,Ia menyiapkan berbagai kue tradisional dan nasi kotak,Semua hidangan itu untuk dimakan keluarganya
Sejak pagi hujan turun dengan deras,"Hingga siang, hujan belum juga berhenti",Udara menjadi sangat dingin karena hujan,Kondisi ini membuat Juju malas beraktivitas,"Sejak tadi pagi, ia belum beranjak sama sekali dari tempat tidur",Juju akan hibernasi saat hujan turun
Dona membagi kue yang dibawanya sama rata.,Hari ini adalah hari ulang tahun Dona yang ke-17.,"Sebagai tanda syukur, Dona membuat kue.",Jam istirahat ini menjadi waktu yang tepat untuk Dona memberikan kuenya kepada teman-teman kelas.,Teman-teman Dona mengucapkan terima kasih sembari mendoakan hal-hal baik untuk Dona.,Teman-teman Dona protes kenapa hari ini ada ulangan.
Reno dan Rian bertengkar di toko,Dua bocah taman kanak-kanak itu diajak membeli tempat pensil oleh ibu,Mereka tertarik pada tempat pensil berbentuk mobil-mobilan,"Sayangnya, tempat pensil itu hanya tersisa satu",Ibu menyuruh keduanya untuk mencari tempat pensil lain,Ibu membagi tempat pensil itu menjadi dua
Nara saat ini sangat sulit terlepas dari telepon genggamnya.,"Padahal dulu ketika SMA, ia sama sekali tidak memakai handphone.",Hal itu membuatnya melampiaskan dendam hingga tidak puas-puasnya menggunakan handphone.,Ibu nara sampai khawatir jika terjadi kerusakan mata pada nara.,Namun gadis itu tetap cuek dan tidak sedikitpun mendengar nasihat ibunya.,Gadis itu sudah mulai tersenyum sendiri melihat ponsel nya.
"Prisa melihat kucingnya, Poci, dengan tatapan menuduh.",Poci hanya mengeong sambil menjilati ekornya.,Satu potong paha ayam di piring Prisa hilang.,"Prisa merasa Poci yang mengambil ayamnya, tetapi ia sudah terlalu lapar untuk memikirkannya.","Prisa melempar tatapan menuduh terakhir kepada Poci, lalu memakan nasi dan telur dadar yang tersisa.",Prisa memberi Poci minum.
"Wendy, sahabat Arta, berusaha menenangkan Arta.",Wendy tahu Arta tidak bermaksud jahat dengan menuduh Arta sebagai pencuri.,Arta hanya panik karena uang kas kelas mereka adalah tanggung jawab Arta sebagai bendahara.,Ditambah lagi dengan jumlahnya yang besar karena mereka baru saja patungan uang hadiah untuk anak Bu Ai.,Bu Ai baru saja melahirkan.,Bu Ai baru saja pulang.
Zumba telah menjadi olahraga yang dilakukan Okta dan Inge secara rutin.,Setiap Jumat malam dan Minggu pagi merupakan jadwal mereka untuk mengikuti kelas zumba.,Okta dan Inge adalah teman kantor yang sudah akrab dari awal mereka mulai bekerja.,"Pada hari Jumat, mereka akan berangkat menuju gym dari kantor.","Pada hari Minggu, Okta akan menjemput Inge yang rumahnya berada dekat dengan gym untuk kemudian berangkat bersama.","Pada hari Minggu, Okta akan menjemput Inge untuk menonton film di bioskop."
Titin meminta baju baru kepada orang tuanya,Seragam Titin robek terkena gunting,Titin menggunakan gunting untuk mengerjakan prakarya,Orang tua Titin segera membelikan Titin baju baru,Baju seragam titin terkena gunting saat mengerjakan prakarya,Orang tua Titin membelikan Titin mainan baru
Isa tidak belajar dengan baik saat di SMA,Isa tidak melanjutkan kuliahnya,Isa gagal saat ujian masuk  universitas,Isa memilih untuk bekerja membantu orang tuanya,Isa bekerja di bengkel milik ayahnya,Isa mendapatkan beasiswa prestasi sebagai murid teladan
Pertemuan keluarga seharusnya menjadi momen yang menyenangkan,"Namun, Elisa tidak pernah suka datang ke acara keluarga","Tidak hanya Elisa, sepupu-sepupunya juga tidak begitu nyaman berada di pertemuan keluarga",Orang tua mereka selalu membandingkan pencapaian anak satu sama lain,Rasa tidak nyaman ini membuat Elisa selalu menyendiri saat pertemuan keluarga,Elisa mengundurkan diri dari keluarganya
Lira mempromosikan tokonya,Lira berharap semakin banyak pembeli yang datang tokonya,Lyra ingin mendapatkan banyak keuntungan dari penjualannya,Lyra berhasil dengan strategi pemasarannya,Toko Lyra semakin terkenal ,Lyra tidak memiliki toko
Evelyn sangat ingin menjadi seorang dokter,Evelyn ingin membantu orang yang tidak mampu,Orang tua Evelyn ingin anaknya masuk sekolah bisnis,Evelyn tidak bisa melawan kehendak kedua orang tuanya,Evelyn melanjutkan kuliahnya di sekolah bisnis ternama,Evelyn menjadi seorang dokter berkat dukungan orang tuanya
Intan menyalahkan dirinya sendiri,Seharusnya Intan tidak bersikap terlalu naif,Intan menyesal atas kisah hidupnya,Intan harus bangkit dari keadaan,Patah hati akan membuat Intan lebih kuat,Intan tidak ingin melanjutkan hidupnya
Enzo sering membeli takjil di masjid dekat rumahnya.,Takjil yang dijual beragam sekali macamnya.,"Ada kolak pisang, berbagai gorengan, dan beberapa macam minuman es.",Favorit Enzo adalah kolak pisang dan tahu isi.,Enzo tidak pernah lupa membeli takjil di sana selama bulan Ramadan.,Enzo tidak pernah lupa salat tarawih di masjid selama bulan Ramadan.
Berita tentang Ari terkonfirmasi.,"Ridho, sahabat Ari, telah membenarkannya.",Ari tidak akan bersekolah di SMA 2 lagi mulai bulan depan.,Jabatan Ketua OSIS yang dipegang Ari otomatis akan digantikan oleh wakilnya.,"Ari harus pindah sekolah karena ia juga akan pindah ke luar negeri, mengikuti bapaknya yang bekerja sebagai diplomat.",Oji harus pindah sekolah karena ia bosan di SMA 2.
Livie hidup di dekat tebing,"Apabila longsor, rumah Livie akan jatuh dari tebing",Malam itu terjadi longsor di daerah rumah Livie,Livie berhasil di evakuasi,Rumah Livie mengalami kerusakan parah,Livie membawa rumahnya menjauh dari tebing
Rys suka memakai celana,Ibu Rys membelikannya rok baru,Rys selalu tidak nyaman jika memakai rok,Rys hanya akan memakai celana,Rys tidak akan memakai rok yang dibelikan oleh ibunya,Rys pergi ke taman bermain mengenakan rok
Kayla sangat malas mandi,"Di hari libur, terkadang ia tidak mandi sama sekali","Sebelum berangkat sekolah, sulit sekali menyuruh Kayla mandi","Akibatnya, badan Kayla menjadi kotor dan bau",Tidak jarang kulitnya juga gatal-gatal karena jarang mandi,Kayla bangga memiliki badan yang bau
Arya menjadi pasukan pengibar bendera,Arya menjadi kebanggan bagi orang tua dan sekolah,Arya mengibarkan bendera pusakan di istana negara,Pasukan pengibar bendera pusakan harus melewati seleksi yang berat,Arya lolos seleksi menjadi pasukan pengibar bendera pusaka,Arya tidak mau mengibarkan bendera
Bu Lala memiliki empat anak,Anaknya yang sulung dan bungsu laki-laki,Anaknya yang tengah perempuan,Setiap anaknya lahir dalam selang satu tahun,"Meski usianya berdekatan, mereka selalu akur",Bu Lala ingin memiliki lebih banyak anak lagi
Ayah dan Ibu Farhyand sudah bercerai,Farhyand tinggal bersama ayahnya,Ibu Farhyand memiliki hak asuh Farhyand,Ayah Farhyand memberikannya kebebasan untuk memilih,Farhyand memilih untuk tinggal bersama ibunya,Ayah Farhyand memaksa Farhyand tinggal bersamanya menggunakan hak asuhnya
Nirmala sangat ingin bekerja,Orang tua Nirmala tidak memiliki uang,Nirmala ingin putus sekolah saja,Nirmala dapat membantu orang tuanya mencari uang,Nirmala tidak ingin menyusahkan orangtuanya,Nirmala hanya mengerti cara menghabiskan uang
Ibu sedang membeli daster di pasar,Ibu tertarik dengan tiga buah daster yang dijual,"Sayangnya, uang ibu kurang dua puluh ribu",Akhirnya ibu tawar menawar cukup lama dengan penjual daster,"Setelah cukup lama tawar menawar, akhirnya ibu mendapatkan tiga daster",Ibu mencuri satu daster dari toko tersebut
Diar ingin memiliki baju baru,Diar meminta Ibu untuk membeli baju baru,Ibu sedang tidak memiliki uang untuk membeli baju baru,Ibu berjanji akan membelikan Diar baju apabila mendapatkan uang bulan depan,Ibu menolak membelikan baju baru untuk Diar untuk saat ini,Diar akan memiliki baju baru minggu depan
"""Ajari aku menjadi sekuat bunda"" langit membuka suara di meja makan malam itu.","""kau hanya perlu melewati setiap rintangan nak"" jawab bunda sambil tersenyum.","Langit diam, seakan-akan sedang berpikir.","""lalu bagaimana melewati rintangan jika kita belum kuat bun?"" ia bertanya lagi.","""dengan sendirinya, rintangan itu membuatmu kuat. seberapa banyak kau gagal, sebanyak itu pula kekuatanmu bertambah"" bunda bangkit dari kursi lalu mengelus kepala langit.","""kau harus berolahraga setiap hari nak"" jawab bunda."
Sebenarnya Tomi senang menemani adiknya menonton di bioskop,Ia tidak pernah masalah ikut menonton film untuk anak-anak,Menurutnya film untuk anak-anak juga menarik,Hanya ada satu hal yang tidak ia suka jika menonton film anak-anak,Beberapa anak seringkali menangis bosan di tengah pemutaran film,Cemilan untuk anak-anak rasanya terlalu manis
Rinan memutuskan untuk kembali kampung halamannya,Tidak ada lagi alasan baginya untuk menetap di ibukota,Rinan telah dikeluarkan dari pekerjaannya,Rinan menangis di dalam bus,Rinan pulang dengan dengan menggunakan bus,Rinan dijemput orang tuanya ke ibukota
Kayla harus mengikuti pelatihan,Kayla lolos menjadi anggota pelatihan,Kayla harus melatih mental dan fisiknya agar semakin kuat,Kayla harus bisa bertahan sampai akhir pelatihan,Kayla berhasil mengikuti pelatihan tersebut dan menjadi anggota paskibra,Kayla tidak lolos seleksi menjadi anggota paskibra
Ibu benar-benar marah pada Zio,Nilai rapornya kali ini semakin menurun,"Bahkan, Zio terancam tidak naik kelas",Ibu memutuskan untuk menghukum Zio,Ia melarang anaknya bermain game jika nilai-nilanya tidak meningkat,Zio tidak boleh makan selama satu semester selanjutnya
Ayva bermain sepatu roda,Ayva memiliki teman baik,Teman Ayva bernama Kity,Kity tidak bisa bermain sepatu roda,Ayva mengajari Kity bermain sepatu roda,Kity tidak mau berteman dengan Ayva
Sudah lama Siska tidak berolahraga,Kini berat badannya sudah berlebih,Tubuhnya berat dan mudah lelah jika beraktivitas,Siska memutuskan untuk rutin olahraga kembali,Ia memulai dari olahraga yang paling ringan dilakukan,Ia langsung olahraga angkat beban seharian
Mata Hana yang sedang menatap jendela di depannya tiba-tiba terpejam.,Lalu membuka kembali.,Kemudian terpejam lagi.,Hana mengantuk sekali.,"Hana baru tidur 2 jam, dan sekarang ia sudah harus berada di kantornya untuk rapat.",Hana ingin makan sushi.
Ben mencari kunci rumah di setiap sudut rumah,Adik Ben membawa kunci cadangan terakhir,Ben memutuskan untuk menduplikat kunci rumah jika adiknya sudah pulang,Ben tidak bisa pergi dan harus berada di rumah,Ben menjaga rumah karena tidak ada kunci cadangan lagi,Ben bermain dengan teman-temannya di tempat bowling
Aldo sedang menjalani pelatihan kebangsaan,Salah satu pelatihan yang Aldo ikuti adalah bertahan hidup,Aldo harus mampu merayap dan menyatu dengan tanah,Aldo dapat melakukannya dengan sangat baik,Aldo menjadi peserta terbaik pelatihan tersebut,Aldo tidak dapat merayap di tanah
"Sesampainya di puncak, nara teringat susu kedelai rasa coklat yang pernah diberikan seseorang kepadanya.","Kala itu mereka juga menaiki puncak, yang tentunya puncak yang berbeda dengan yang ia datangi hari ini.",Minuman itu juga sering diberikan saat nara sakit.,Namun sekarang nara tidak lagi tahu bagaimana kabar si pemberi susu kedelai rasa coklat itu.,"""semoga ia baik-baik saja""batin nara menghembuskan napas.",Nara tergelincir karena tanah licin di atas puncak.
Dany sangat suka memakan otak-otak,Ibu memberikan Dany banyak otak-otak,Dany harus membaginya dengan adik,Dany menghabiskan otak-otak tersebut sendirian,Adik menangis karena tidak dibagi otak-otak,Dany makan otak-otak bersama adiknya
Aiden sangat sulit berpikir rasional,Aiden selalu menganggap kenyataan sesuai dengan keinginannya,Aiden sangat naif dengan kehidupan,Aiden tidak peduli dengan kesalahannya,Aiden selalu menyalahkan orang lain,Aiden dapat menerima kenyataan yang tidak sesuai dengan keinginannya
Mario pergi ke rumah Caesar.,Mereka telah berjanji untuk main PS bersama siang ini.,Kegiatan ini tanpa sengaja menjadi rutinitas.,Tadinya Caesar iseng saja mengundang Mario ke rumahnya untuk main PS.,Namun ternyata mereka menikmatinya sehingga menjadikannya rutinitas tiap akhir pekan.,Namun ternyata mereka adalah tetangga.
Robin bertengkar dengan Jason,Jason menonjok rahang Robin,Jason kesal dengan tindakan Robin,Robin membalas perlakuan Jason,Robin dan Jason melakukan adu jontos,Robin tidak dapat berkelahi
Zira adalah siswa yang kompetitif,Ia selalu ingin menjadi yang terbaik,Ia selalu berusaha unggul di bidang akademik maupun non akademik,Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler,Kegigihan Zira menjadi panutan bagi teman seusianya,Jika ada siswa yang lebih baik Zira akan memarahinya
"""Apa kau percaya, seseorang setiap harinya akan berubah?"" seperti biasa, ia selalu pandai membuka topik pembicaraan.","""Ya, tentu saja"" jawabku sambil mengunyah pisang crispy yang baru saja kami beli.","""berarti kau tidak akan dendam jika seseorang menyakitimu, karena bisa saja itu adalah hasil pemikirannya yang kemarin"" tanya-nya lagi.","""hmm kau benar, mungkin tidak seharusnya aku memutuskan pertemanan hanya karena masalah masa lalu"" jawabku sedikit datar, tanpa melihat ke arahnya.","""aku paham, sesuatu yang buruk itu pasti lebih membekas. tapi cobalah untuk sekedar menerima maafnya"" ia kembali membuatku berpikir dan lidahku semakin kelu untuk menjawab.","""sudah, ayo lekas naik motorku, kita sudah terlambat"" jawabnya lagi."
Hari ini Khanza ditegur tegas oleh atasannya,Ia melakukan sebuah kesalahan pada pekerjaan yang diberikan dua hari lalu,Laporan-laporan yang ia buat tidak sesuai dengan standar perusahaan,Atasannya meminta Khanza memperbaiki laporan yang ia buat,Khanza meminta maaf atas keteledorannya dan memperbaiki laporan buatannya,Khanza kesal karena tidak merasa salah dan menolak perintah atasannya
Fila ingin memakan sebuah apel,Fila menemukan apel miliknya di dalam kulkas,Fila mencuci dan mengupas apel tersebut,Tangan Fila tiba-tiba mengeluarkan darah,Fila terkena pisau saat mengupas apel tersebut,Fila tidak menyukai sayur dan buah-buahan
Setiap orang akan mendapatkan apa yang telah mereka berikan,Rosi membohongi teman-temannya tentang kehidupannya,Rosi tidak ingin dikasihani,Rahasia Rosi terbongkar karena kecerobohannya sendiri,Rosi tidak lagi dipercaya oleh teman-temannya,Rosi sudah jujur kepada teman-temannya sejak awal
Emmy mencari tasnya di dalam ruangan,Emmy tidak menemukan tasnya,Emmy bertanya kepada orang-orang di ruangan tersebut,Jirai menemukan tas Emmy,Emmy berterima kasih kepada Jirai,Emmy merelakan tasnya hilang dan tidak mnecari tasnya
Patricia adalah anak terakhir dari tiga bersaudara.,"Kakak pertama, Patra, sudah berkeluarga dan tinggal di kota sebelah.","Kakak kedua, Praveen, baru saja lulus dari universitas dengan gelar S1.",Umur Praveen dan Patricia berbeda 5 tahun.,Patricia masih duduk di bangku SMA sekarang.,Patricia masih duduk di bangku TK sekarang.
"""Sesekali liat daerah lain dong, ke kampungku misalnya"" jawab nara setelah mendengar keluh bumi tentang tempat liburan yang menarik.","""Memangnya apa yang ada di kampungmu?"" Cibir bumi.","""Banyak. Ada laut, pulau, gunung, sungai, danau laut tinggal, air terjun.."" jawab nara sambil mengira-ngira.","""Hmmm yang mungkin tidak ada di daerah lain?"" bantah bumi lagi.","""ada aku tentunya"" ucap gadis itu dengan percaya diri sambil menertawakan bumi.","""sesungguhnya aku berasal dari jerman"" ucap gadis itu."
